Numéro;Heure;Pos_X_centrale;Pos_Y_centrale;Pos_Z_centrale;Angle_X_centrale;Angle_Y_centrale;Angle_Z_centrale
;x10 µs;m;m;m;rad;rad;rad
276;21514100;32577;32887;33749;11;22;33;
277;21596600;32577;32887;33749;11;22;33;
278;21679000;32571;32854;33749;11;22;33;
279;21761500;32571;32854;33749;11;22;33;
280;21843900;32574;32864;33749;11;22;33;
281;21926500;32573;32967;33749;11;22;33;
282;22009000;32573;32967;33749;11;22;33;
283;22091300;32574;32866;33749;11;22;33;
284;22173700;32565;32869;33749;11;22;33;
285;22256300;32565;32869;33749;11;22;33;
286;22338500;32566;32967;33749;11;22;33;
287;22421100;32566;32967;33749;11;22;33;
288;22503500;32574;32867;33749;11;22;33;
289;22586000;32573;32867;33749;11;22;33;
290;22668500;32573;32867;33749;11;22;33;
291;22750900;32574;32867;33749;11;22;33;
292;22833400;32573;32868;33749;11;22;33;
293;22915900;32573;32868;33749;11;22;33;
294;22998100;32573;32868;33749;11;22;33;
295;23080700;32573;32868;33749;11;22;33;
296;23163100;32573;32868;33749;11;22;33;
297;23245500;32572;32868;33749;11;22;33;
298;23328100;32572;32868;33749;11;22;33;
299;23410500;32572;32869;33749;11;22;33;
300;23493000;32573;32868;33749;11;22;33;
301;23575600;32573;32868;33749;11;22;33;
302;23658000;32573;32868;33749;11;22;33;
303;23740400;32573;32868;33749;11;22;33;
304;23822600;32573;32868;33749;11;22;33;
305;23905200;32573;32867;51157;11;22;33;
306;23987700;32573;32867;51157;11;22;33;
307;24070100;32573;32868;33749;11;22;33;
308;24152500;32573;32867;33749;11;22;33;
309;24235100;32573;32867;33749;11;22;33;
310;24317500;32573;32867;33749;11;22;33;
311;24400100;32573;32867;33749;11;22;33;
312;24482400;32573;32869;33749;11;22;33;
313;24564900;32572;32868;33749;11;22;33;
314;24647400;32572;32868;33749;11;22;33;
315;24729600;32573;32868;33749;11;22;33;
316;24812100;32572;32868;33749;11;22;33;
317;24894700;32572;32868;33749;11;22;33;
318;24976900;32573;32867;33749;11;22;33;
319;25059500;32573;32867;33749;11;22;33;
320;25141800;32573;32868;33749;11;22;33;
321;25149200;32573;32868;33749;11;22;33;
322;25231700;32573;32868;33749;11;22;33;
323;25314000;32573;32868;33749;11;22;33;
324;25396400;32572;32868;33749;11;22;33;
325;25478900;32572;32868;33749;11;22;33;
326;25561300;32572;51044;33749;11;22;33;
327;25643900;32572;51044;33749;11;22;33;
328;25726300;32572;51044;33749;11;22;33;
329;25808600;32572;32867;33749;11;22;33;
330;25891100;32572;32867;33749;11;22;33;
331;25973300;51005;32867;33749;11;22;33;
332;25980800;32701;32867;33749;11;22;33;
333;26063300;32701;32867;33749;11;22;33;
334;26145700;32573;32867;33735;11;22;33;
335;26228300;32573;32867;33735;11;22;33;
336;26310600;32573;32868;33749;11;22;33;
337;26393000;32570;32868;33735;11;22;33;
338;26400500;32570;32868;33735;11;22;33;
339;26407800;32568;32868;33749;11;22;33;
340;26490400;32571;51044;33749;11;22;33;
